scenario,structure_type,rated_power_mw,material_model,intensity_gco2_per_kwh
baseline_ref,onshore,2.0,gfrp,19.840144525900467
baseline_ref,onshore,2.0,cfrp,21.715627367169795
baseline_ref,onshore,5.0,gfrp,14.560238507876193
baseline_ref,onshore,5.0,cfrp,16.347366035032437
baseline_ref,onshore,10.0,gfrp,12.534827197699116
baseline_ref,onshore,10.0,cfrp,14.210896887228026
baseline_ref,onshore,15.0,gfrp,11.771493536351743
baseline_ref,onshore,15.0,cfrp,13.386054459907312
baseline_ref,bottom_fixed,2.0,gfrp,18.20083994762128
baseline_ref,bottom_fixed,2.0,cfrp,19.602471631116707
baseline_ref,bottom_fixed,5.0,gfrp,14.134629276346732
baseline_ref,bottom_fixed,5.0,cfrp,15.418805552978322
baseline_ref,bottom_fixed,10.0,gfrp,12.563396359658558
baseline_ref,bottom_fixed,10.0,cfrp,13.764356520565123
baseline_ref,bottom_fixed,15.0,gfrp,11.946942670857839
baseline_ref,bottom_fixed,15.0,cfrp,13.10135595118478
baseline_ref,semisubmersible,2.0,gfrp,23.852387777019334
baseline_ref,semisubmersible,2.0,cfrp,24.987368352434746
baseline_ref,semisubmersible,5.0,gfrp,19.841240093619696
baseline_ref,semisubmersible,5.0,cfrp,20.877903500013602
baseline_ref,semisubmersible,10.0,gfrp,18.263922276857972
baseline_ref,semisubmersible,10.0,cfrp,19.213525673425536
baseline_ref,semisubmersible,15.0,gfrp,17.65281615729549
baseline_ref,semisubmersible,15.0,cfrp,18.553716535239705
baseline_ref,spar,2.0,gfrp,25.321987069381052
baseline_ref,spar,2.0,cfrp,26.89536346908508
baseline_ref,spar,5.0,gfrp,20.772105925553554
baseline_ref,spar,5.0,cfrp,22.204882967259508
baseline_ref,spar,10.0,gfrp,19.017947876695647
baseline_ref,spar,10.0,cfrp,20.34863007110874
baseline_ref,spar,15.0,gfrp,18.336465437480687
baseline_ref,spar,15.0,cfrp,19.610028093789268
baseline_ref,fawt,2.0,gfrp,21.455149833385015
baseline_ref,fawt,2.0,cfrp,21.273934196707682
baseline_ref,fawt,5.0,gfrp,17.58213991724912
baseline_ref,fawt,5.0,cfrp,17.369137032071553
baseline_ref,fawt,10.0,gfrp,16.000096811467262
baseline_ref,fawt,10.0,cfrp,15.801098398836626
baseline_ref,fawt,15.0,gfrp,15.328914070838218
baseline_ref,fawt,15.0,cfrp,15.123019744252925
fair_blade030,onshore,2.0,gfrp,19.840144525900467
fair_blade030,onshore,2.0,cfrp,20.45530244573107
fair_blade030,onshore,5.0,gfrp,14.56023850787619
fair_blade030,onshore,5.0,cfrp,15.148626947681384
fair_blade030,onshore,10.0,gfrp,12.534827197699114
fair_blade030,onshore,10.0,cfrp,13.076918124322233
fair_blade030,onshore,15.0,gfrp,11.771493536351743
fair_blade030,onshore,15.0,cfrp,12.288268630490958
fair_blade030,bottom_fixed,2.0,gfrp,18.20083994762128
fair_blade030,bottom_fixed,2.0,cfrp,19.602471631116707
fair_blade030,bottom_fixed,5.0,gfrp,14.134629276346732
fair_blade030,bottom_fixed,5.0,cfrp,15.418805552978322
fair_blade030,bottom_fixed,10.0,gfrp,12.563396359658558
fair_blade030,bottom_fixed,10.0,cfrp,13.764356520565123
fair_blade030,bottom_fixed,15.0,gfrp,11.946942670857839
fair_blade030,bottom_fixed,15.0,cfrp,13.10135595118478
fair_blade030,semisubmersible,2.0,gfrp,23.852387777019334
fair_blade030,semisubmersible,2.0,cfrp,24.987368352434746
fair_blade030,semisubmersible,5.0,gfrp,19.841240093619696
fair_blade030,semisubmersible,5.0,cfrp,20.877903500013602
fair_blade030,semisubmersible,10.0,gfrp,18.263922276857972
fair_blade030,semisubmersible,10.0,cfrp,19.213525673425536
fair_blade030,semisubmersible,15.0,gfrp,17.65281615729549
fair_blade030,semisubmersible,15.0,cfrp,18.553716535239705
fair_blade030,spar,2.0,gfrp,25.321987069381052
fair_blade030,spar,2.0,cfrp,26.89536346908508
fair_blade030,spar,5.0,gfrp,20.772105925553554
fair_blade030,spar,5.0,cfrp,22.204882967259508
fair_blade030,spar,10.0,gfrp,19.017947876695647
fair_blade030,spar,10.0,cfrp,20.34863007110874
fair_blade030,spar,15.0,gfrp,18.336465437480687
fair_blade030,spar,15.0,cfrp,19.610028093789268
fair_blade030,fawt,2.0,gfrp,28.52491402989753
fair_blade030,fawt,2.0,cfrp,27.620183801263444
fair_blade030,fawt,5.0,gfrp,24.152205851604524
fair_blade030,fawt,5.0,cfrp,23.26682713584847
fair_blade030,fawt,10.0,gfrp,22.213342730404324
fair_blade030,fawt,10.0,cfrp,21.355521987895827
fair_blade030,fawt,15.0,gfrp,21.343853280995848
fair_blade030,fawt,15.0,cfrp,20.497215247308773
fair_blade067,onshore,2.0,gfrp,19.840144525900467
fair_blade067,onshore,2.0,cfrp,21.715627367169795
fair_blade067,onshore,5.0,gfrp,14.560238507876193
fair_blade067,onshore,5.0,cfrp,16.347366035032437
fair_blade067,onshore,10.0,gfrp,12.534827197699116
fair_blade067,onshore,10.0,cfrp,14.210896887228026
fair_blade067,onshore,15.0,gfrp,11.771493536351743
fair_blade067,onshore,15.0,cfrp,13.386054459907312
fair_blade067,bottom_fixed,2.0,gfrp,18.247772442691797
fair_blade067,bottom_fixed,2.0,cfrp,21.75134921905022
fair_blade067,bottom_fixed,5.0,gfrp,14.178244534013912
fair_blade067,bottom_fixed,5.0,cfrp,17.415798245400264
fair_blade067,bottom_fixed,10.0,gfrp,12.604658907688501
fair_blade067,bottom_fixed,10.0,cfrp,15.653626727686039
fair_blade067,bottom_fixed,15.0,gfrp,11.986888251846333
fair_blade067,bottom_fixed,15.0,cfrp,14.930326765418753
fair_blade067,semisubmersible,2.0,gfrp,23.983910091827077
fair_blade067,semisubmersible,2.0,cfrp,27.308391163172498
fair_blade067,semisubmersible,5.0,gfrp,19.963466274876527
fair_blade067,semisubmersible,5.0,cfrp,23.034874012440632
fair_blade067,semisubmersible,10.0,gfrp,18.379555290266055
fair_blade067,semisubmersible,10.0,cfrp,21.254144120468755
fair_blade067,semisubmersible,15.0,gfrp,17.764758539008906
fair_blade067,semisubmersible,15.0,cfrp,20.529205043216077
fair_blade067,spar,2.0,gfrp,25.52090165904765
fair_blade067,spar,2.0,cfrp,29.65284831215489
fair_blade067,spar,5.0,gfrp,20.95696102582117
fair_blade067,spar,5.0,cfrp,24.76746592312264
fair_blade067,spar,10.0,gfrp,19.192831457840057
fair_blade067,spar,10.0,cfrp,22.772981271871732
fair_blade067,spar,15.0,gfrp,18.505767300494387
fair_blade067,spar,15.0,cfrp,21.957001847430217
fair_blade067,fawt,2.0,gfrp,24.78803866888377
fair_blade067,fawt,2.0,cfrp,24.265737581712543
fair_blade067,fawt,5.0,gfrp,20.679456714873805
fair_blade067,fawt,5.0,cfrp,20.149476652423527
fair_blade067,fawt,10.0,gfrp,18.929198458966162
fair_blade067,fawt,10.0,cfrp,18.420539246853078
fair_blade067,fawt,15.0,gfrp,18.164528269912527
fair_blade067,fawt,15.0,cfrp,17.656569052836396
fair_blade100,onshore,2.0,gfrp,19.840144525900467
fair_blade100,onshore,2.0,cfrp,22.839700945750277
fair_blade100,onshore,5.0,gfrp,14.56023850787619
fair_blade100,onshore,5.0,cfrp,17.416511707534728
fair_blade100,onshore,10.0,gfrp,12.534827197699116
fair_blade100,onshore,10.0,cfrp,15.222283351441298
fair_blade100,onshore,15.0,gfrp,11.771493536351743
fair_blade100,onshore,15.0,cfrp,14.36516074019757
fair_blade100,bottom_fixed,2.0,gfrp,18.289631154511447
fair_blade100,bottom_fixed,2.0,cfrp,23.66791571639633
fair_blade100,bottom_fixed,5.0,gfrp,14.217144628690047
fair_blade100,bottom_fixed,5.0,cfrp,19.196899835938755
fair_blade100,bottom_fixed,10.0,gfrp,12.641460639715207
fair_blade100,bottom_fixed,10.0,cfrp,17.338651507010095
fair_blade100,bottom_fixed,15.0,gfrp,12.02251539164688
fair_blade100,bottom_fixed,15.0,cfrp,16.561571005140944
fair_blade100,semisubmersible,2.0,gfrp,24.101213778006958
fair_blade100,semisubmersible,2.0,cfrp,29.378492588965628
fair_blade100,semisubmersible,5.0,gfrp,20.072478814916387
fair_blade100,semisubmersible,5.0,cfrp,24.958658523524203
fair_blade100,semisubmersible,10.0,gfrp,18.482687437359754
fair_blade100,semisubmersible,10.0,cfrp,23.074155167831634
fair_blade100,semisubmersible,15.0,gfrp,17.86459904161817
fair_blade100,semisubmersible,15.0,cfrp,22.291127226005813
fair_blade100,spar,2.0,gfrp,25.698311968750282
fair_blade100,spar,2.0,cfrp,32.11222668570365
fair_blade100,spar,5.0,gfrp,21.121831790924727
fair_blade100,spar,5.0,cfrp,27.05301288375732
fair_blade100,spar,10.0,gfrp,19.348808705887773
fair_blade100,spar,10.0,cfrp,24.935240450930618
fair_blade100,spar,15.0,gfrp,18.656766259398495
fair_blade100,spar,15.0,cfrp,24.050248708785663
fair_blade100,fawt,2.0,gfrp,21.455149833385015
fair_blade100,fawt,2.0,cfrp,21.273934196707682
fair_blade100,fawt,5.0,gfrp,17.58213991724912
fair_blade100,fawt,5.0,cfrp,17.369137032071553
fair_blade100,fawt,10.0,gfrp,16.000096811467262
fair_blade100,fawt,10.0,cfrp,15.801098398836626
fair_blade100,fawt,15.0,gfrp,15.328914070838218
fair_blade100,fawt,15.0,cfrp,15.123019744252925
fair_feedback_cap035,onshore,2.0,gfrp,19.840144525900467
fair_feedback_cap035,onshore,2.0,cfrp,21.721066772501942
fair_feedback_cap035,onshore,5.0,gfrp,14.560238507876193
fair_feedback_cap035,onshore,5.0,cfrp,16.35280544036459
fair_feedback_cap035,onshore,10.0,gfrp,12.534827197699116
fair_feedback_cap035,onshore,10.0,cfrp,14.216402248927498
fair_feedback_cap035,onshore,15.0,gfrp,11.771493536351743
fair_feedback_cap035,onshore,15.0,cfrp,13.391559821606783
fair_feedback_cap035,bottom_fixed,2.0,gfrp,18.20083994762128
fair_feedback_cap035,bottom_fixed,2.0,cfrp,19.602471631116707
fair_feedback_cap035,bottom_fixed,5.0,gfrp,14.134629276346732
fair_feedback_cap035,bottom_fixed,5.0,cfrp,15.418805552978322
fair_feedback_cap035,bottom_fixed,10.0,gfrp,12.563396359658558
fair_feedback_cap035,bottom_fixed,10.0,cfrp,13.764356520565123
fair_feedback_cap035,bottom_fixed,15.0,gfrp,11.946942670857839
fair_feedback_cap035,bottom_fixed,15.0,cfrp,13.10135595118478
fair_feedback_cap035,semisubmersible,2.0,gfrp,23.852387777019334
fair_feedback_cap035,semisubmersible,2.0,cfrp,25.023441490744865
fair_feedback_cap035,semisubmersible,5.0,gfrp,19.841240093619696
fair_feedback_cap035,semisubmersible,5.0,cfrp,20.909666763894496
fair_feedback_cap035,semisubmersible,10.0,gfrp,18.263922276857972
fair_feedback_cap035,semisubmersible,10.0,cfrp,19.24528893730643
fair_feedback_cap035,semisubmersible,15.0,gfrp,17.65281615729549
fair_feedback_cap035,semisubmersible,15.0,cfrp,18.5854797991206
fair_feedback_cap035,spar,2.0,gfrp,25.321987069381052
fair_feedback_cap035,spar,2.0,cfrp,26.89536346908508
fair_feedback_cap035,spar,5.0,gfrp,20.772105925553554
fair_feedback_cap035,spar,5.0,cfrp,22.204882967259508
fair_feedback_cap035,spar,10.0,gfrp,19.017947876695647
fair_feedback_cap035,spar,10.0,cfrp,20.34863007110874
fair_feedback_cap035,spar,15.0,gfrp,18.336465437480687
fair_feedback_cap035,spar,15.0,cfrp,19.610028093789268
fair_feedback_cap035,fawt,2.0,gfrp,21.455149833385015
fair_feedback_cap035,fawt,2.0,cfrp,21.273934196707682
fair_feedback_cap035,fawt,5.0,gfrp,17.58213991724912
fair_feedback_cap035,fawt,5.0,cfrp,17.369137032071553
fair_feedback_cap035,fawt,10.0,gfrp,16.000096811467262
fair_feedback_cap035,fawt,10.0,cfrp,15.801098398836626
fair_feedback_cap035,fawt,15.0,gfrp,15.328914070838218
fair_feedback_cap035,fawt,15.0,cfrp,15.123019744252925
fair_blade030_feedbackcap,onshore,2.0,gfrp,19.840144525900467
fair_blade030_feedbackcap,onshore,2.0,cfrp,20.46074185106322
fair_blade030_feedbackcap,onshore,5.0,gfrp,14.56023850787619
fair_blade030_feedbackcap,onshore,5.0,cfrp,15.154066353013535
fair_blade030_feedbackcap,onshore,10.0,gfrp,12.534827197699114
fair_blade030_feedbackcap,onshore,10.0,cfrp,13.082423486021709
fair_blade030_feedbackcap,onshore,15.0,gfrp,11.771493536351743
fair_blade030_feedbackcap,onshore,15.0,cfrp,12.293773992190431
fair_blade030_feedbackcap,bottom_fixed,2.0,gfrp,18.20083994762128
fair_blade030_feedbackcap,bottom_fixed,2.0,cfrp,19.602471631116707
fair_blade030_feedbackcap,bottom_fixed,5.0,gfrp,14.134629276346732
fair_blade030_feedbackcap,bottom_fixed,5.0,cfrp,15.418805552978322
fair_blade030_feedbackcap,bottom_fixed,10.0,gfrp,12.563396359658558
fair_blade030_feedbackcap,bottom_fixed,10.0,cfrp,13.764356520565123
fair_blade030_feedbackcap,bottom_fixed,15.0,gfrp,11.946942670857839
fair_blade030_feedbackcap,bottom_fixed,15.0,cfrp,13.10135595118478
fair_blade030_feedbackcap,semisubmersible,2.0,gfrp,23.852387777019334
fair_blade030_feedbackcap,semisubmersible,2.0,cfrp,25.023441490744865
fair_blade030_feedbackcap,semisubmersible,5.0,gfrp,19.841240093619696
fair_blade030_feedbackcap,semisubmersible,5.0,cfrp,20.909666763894496
fair_blade030_feedbackcap,semisubmersible,10.0,gfrp,18.263922276857972
fair_blade030_feedbackcap,semisubmersible,10.0,cfrp,19.24528893730643
fair_blade030_feedbackcap,semisubmersible,15.0,gfrp,17.65281615729549
fair_blade030_feedbackcap,semisubmersible,15.0,cfrp,18.5854797991206
fair_blade030_feedbackcap,spar,2.0,gfrp,25.321987069381052
fair_blade030_feedbackcap,spar,2.0,cfrp,26.89536346908508
fair_blade030_feedbackcap,spar,5.0,gfrp,20.772105925553554
fair_blade030_feedbackcap,spar,5.0,cfrp,22.204882967259508
fair_blade030_feedbackcap,spar,10.0,gfrp,19.017947876695647
fair_blade030_feedbackcap,spar,10.0,cfrp,20.34863007110874
fair_blade030_feedbackcap,spar,15.0,gfrp,18.336465437480687
fair_blade030_feedbackcap,spar,15.0,cfrp,19.610028093789268
fair_blade030_feedbackcap,fawt,2.0,gfrp,28.52491402989753
fair_blade030_feedbackcap,fawt,2.0,cfrp,27.620183801263444
fair_blade030_feedbackcap,fawt,5.0,gfrp,24.152205851604524
fair_blade030_feedbackcap,fawt,5.0,cfrp,23.26682713584847
fair_blade030_feedbackcap,fawt,10.0,gfrp,22.213342730404324
fair_blade030_feedbackcap,fawt,10.0,cfrp,21.355521987895827
fair_blade030_feedbackcap,fawt,15.0,gfrp,21.343853280995848
fair_blade030_feedbackcap,fawt,15.0,cfrp,20.497215247308773
